Name,Identifier,Weight,Sector,Shares Held
United Rentals Inc.,URI,0.035583,Industrials,844338.000
WestRock Company,WRK,0.035502,Materials,2751700.000
PulteGroup Inc.,PHM,0.035105,Consumer Discretionary,2759540.000
Campbell Soup Company,CPB,0.034575,Consumer Staples,2063301.000
Snap-on Incorporated,SNA,0.034248,Industrials,596889.000
Juniper Networks Inc.,JNPR,0.033480,Information Technology,3668288.000
LKQ Corporation,LKQ,0.033430,Consumer Discretionary,3360570.000
Apache Corporation,APA,0.033069,Energy,4016686.000
Franklin Resources Inc.,BEN,0.032818,Financials,3161285.000
Interpublic Group of Companies Inc.,IPG,0.032379,Communication Services,4143314.000
F5 Networks Inc.,FFIV,0.031868,Information Technology,642192.000
Kimco Realty Corporation,KIM,0.031849,Real Estate,4463333.000
Kohl's Corporation,KSS,0.031525,Consumer Discretionary,1736202.000
Assurant Inc.,AIZ,0.031341,Financials,660105.000
Apartment Investment and Management Company Class A,AIV,0.031105,Real Estate,1598243.000
Zions Bancorporation N.A.,ZION,0.030944,Financials,1960633.000
National Oilwell Varco Inc.,NOV,0.030401,Energy,4101586.000
Alaska Air Group Inc.,ALK,0.030295,Industrials,1322089.000
DISH Network Corporation Class A,DISH,0.030152,Communication Services,2477734.000
Fortune Brands Home & Security Inc.,FBHS,0.030083,Industrials,1501322.000
Nielsen Holdings Plc,NLSN,0.029861,Industrials,3763898.000
Mohawk Industries Inc.,MHK,0.029747,Consumer Discretionary,666708.000
HollyFrontier Corporation,HFC,0.029463,Energy,1683454.000
Cabot Oil & Gas Corporation,COG,0.029268,Energy,4535758.000
DaVita Inc.,DVA,0.028735,Health Care,1338495.000
Albemarle Corporation,ALB,0.027807,Materials,1146512.000
SL Green Realty Corp.,SLG,0.027434,Real Estate,913639.000
Mosaic Company,MOS,0.027384,Materials,3742973.000
A. O. Smith Corporation,AOS,0.027133,Industrials,1522277.000
Robert Half International Inc.,RHI,0.027029,Industrials,1291554.000
BorgWarner Inc.,BWA,0.026924,Consumer Discretionary,2206955.000
Sealed Air Corporation,SEE,0.026824,Materials,1677139.000
Newell Brands Inc,NWL,0.026569,Consumer Discretionary,4151954.000
FLIR Systems Inc.,FLIR,0.026442,Information Technology,1440427.000
Invesco Ltd.,IVZ,0.026328,Financials,4316132.000
Tapestry Inc.,TPR,0.025322,Consumer Discretionary,3101757.000
Alliance Data Systems Corporation,ADS,0.025154,Information Technology,483780.000
Perrigo Co. Plc,PRGO,0.024317,Health Care,1326867.000
People's United Financial Inc.,PBCT,0.023708,Financials,4235611.000
Unum Group,UNM,0.023654,Financials,2304914.000
Pentair plc,PNR,0.023635,Industrials,1694342.000
Xerox Holdings Corporation,XRX,0.023430,Information Technology,2134642.000
PVH Corp.,PVH,0.022609,Consumer Discretionary,810188.000
H&R Block Inc.,HRB,0.022434,Consumer Discretionary,2149875.000
Flowserve Corporation,FLS,0.022025,Industrials,1373463.000
News Corporation Class A,NWSA,0.021831,Communication Services,4021641.000
Fox Corporation Class B,FOX,0.021609,Communication Services,1716221.000
Hanesbrands Inc.,HBI,0.021158,Consumer Discretionary,3892022.000
Harley-Davidson Inc.,HOG,0.020907,Consumer Discretionary,1704648.000
Leggett & Platt Incorporated,LEG,0.020819,Consumer Discretionary,1388646.000
Quanta Services Inc.,PWR,0.019961,Industrials,1554052.000
Rollins Inc.,ROL,0.019747,Industrials,1559336.000
Macy's Inc,M,0.019738,Consumer Discretionary,3306562.000
Jefferies Financial Group Inc.,JEF,0.019684,Financials,2714786.000
Ralph Lauren Corporation Class A,RL,0.018906,Consumer Discretionary,560633.000
IPG Photonics Corporation,IPGP,0.018197,Information Technology,380272.000
Discovery Inc. Class A,DISCA,0.018171,Communication Services,1689773.000
L Brands Inc.,LB,0.017863,Consumer Discretionary,2408854.000
Helmerich & Payne Inc.,HP,0.017718,Energy,1183004.000
Capri Holdings Limited,CPRI,0.017552,Consumer Discretionary,1633438.000
Cimarex Energy Co.,XEC,0.016717,Energy,1083688.000
Affiliated Managers Group Inc.,AMG,0.016095,Financials,548356.000
TripAdvisor Inc.,TRIP,0.015793,Communication Services,1079041.000
Gap Inc.,GPS,0.015755,Consumer Discretionary,2313644.000
Under Armour Inc. Class A,UAA,0.014205,Consumer Discretionary,1950887.000
Under Armour Inc. Class C,UA,0.013675,Consumer Discretionary,2079670.000
Nordstrom Inc.,JWN,0.013322,Consumer Discretionary,1129256.000
Macerich Company,MAC,0.012527,Real Estate,1131393.000
Nektar Therapeutics,NKTR,0.011866,Health Care,1821628.000
Coty Inc. Class A,COTY,0.011045,Consumer Staples,3227636.000
